;question
1;Как правило, несчастья случаются с людьми из-за ошибок, которые они совершили.
2;Мне часто кажется, что во мне слишком мало хорошего.
3;В общем-то, судьба ко мне благосклонна.
4;Вряд ли что-то сможет помешать мне получить от жизни всё, что я хочу.
5;Я полагаю, что людям доверять нельзя.
6;Непорядочные люди очень редко получают по заслугам.
7;У меня есть основания быть о себе невысокого мнения.
8;Мне кажется, что я не так удачлива, как большинство людей.
9;Как правило, я в состоянии действовать так, чтобы получить максимально благоприятный результат.
10;Я опасаюсь, что человек, которому я доверюсь, может предать меня.
11;Как правило, хорошим людям сопутствуют счастье и удача.
12;Можно сказать, что я себе нравлюсь.
13;Люди по природе своей недружелюбны и злы.
14;В моей жизни, как правило, не приходится рассчитывать на удачное стечение обстоятельств.
15;В целом, люди достойны доверия.
16;Полагаю, что я в силах сделать всё возможное, чтобы предотвратить неудачи.
17;Меня вполне можно назвать интересным и привлекательным человеком.
18;По большому счету, людей не очень-то волнуют проблемы других.
19;Вряд ли я могу полностью довериться кому-либо.
20;Удача улыбается мне значительно реже, чем другим.
21;Если посмотреть внимательно, то увидишь, что мир полон добра.
22;В большинстве случаев хорошие люди получают то, что заслуживают в жизни.
23;Мои достоинства вполне перевешивают мои недостатки.
24;Я считаю, что в целом бессмысленно предпринимать какие-либо меры для защиты себя от неудач.
25;Фортуна слишком часто поворачивается ко мне спиной.
26;Сомневаюсь, что я в состоянии контролировать события, которые происходят в моей жизни.
27;Мне кажется, что если я буду откровенна с людьми, они используют это против меня.
28;Я считаю, что мне часто везет.
29;С достойными, хорошими людьми неудачи случаются так же часто, как и с плохими.
30;Мне вполне по силам выбрать максимально выигрышную стратегию поведения в сложных жизненных ситуациях.
31;Люди в большинстве своем добры и готовы прийти на помощь.
32;Оглядываясь назад, я понимаю, что случай был ко мне благосклонен.
33;Доверять людям небезопасно.
34;Если человек совершает хорошие поступки, то судьба, как правило, к нему благосклонна.
35;В общем-то, я ценю себя достаточно высоко.
36;Я вполне везучий человек.
37;Сомневаюсь, что могу быть достаточно интересной и привлекательной для многих людей.
